product_type,product_field,name,description,price,Product_Webpage_url,product_issues
Laptop,Gaming Systems,Razer Blade 16 - QHD+ 240 Hz OLED - GeForce RTX 5090 - Black,"Enthusiast-grade 16-inch powerhouse with a QHD+ 240 Hz OLED screen and top-tier NVIDIA GeForce RTX 5090 graphics, finished in Black.","$4,299.99",https://www.razer.com/laptops/razer-blade-16---qhd-240-hz-oled---geforce-rtx-5090---black,Requires aggressive fan profiles to prevent thermal throttling on the 5090; very bulky power adapter.
Keyboard,Gaming Peripherals,Razer Ornata V3 Tenkeyless - US - Cinnamoroll Edition,Low-profile mecha-membrane tenkeyless keyboard adorned with a Sanrio Cinnamoroll pastel blue and white design.,$119.99,https://www.razer.com/keyboards/razer-ornata-v3-tenkeyless---us---cinnamoroll-edition,White ABS keycaps get shiny very quickly; mecha-membrane switches lack the durability of true mechanicals.
Keyboard,Gaming Peripherals,Razer Huntsman V3 Pro 8KHz - US - Black,Full-sized analog optical gaming keyboard with rapid trigger and an ultra-fast 8000Hz polling rate in Black.,$199.99,https://www.razer.com/keyboards/razer-huntsman-v3-pro-8khz---us---black,Analog rapid-trigger actuation has a steep learning curve; chassis can produce a hollow pinging sound when bottoming out keys.
Keyboard,Gaming Peripherals,Razer BlackWidow V4 Pro - Orange Switch - US - Black,"Flagship full-sized mechanical keyboard featuring tactile, quiet Orange switches, dedicated macro keys, and immersive underglow.",$199.99,https://www.razer.com/keyboards/razer-blackwidow-v4-pro---orange-switch---us---black,Requires two USB ports to fully power the keyboard and underglow wrist rest; left-side macro keys cause accidental misclicks during regular typing.
Keyboard,Gaming Peripherals,Razer Huntsman V3 Pro Tenkeyless 8KHz - US - Black,Compact TKL analog optical gaming keyboard delivering 8000Hz polling and adjustable actuation for competitive play.,$199.99,https://www.razer.com/keyboards/razer-huntsman-v3-pro-tenkeyless-8khz---us---black,Lacks dedicated media keys found on the full-size version; high 8KHz polling can cause CPU spikes in older games.
Keyboard,Gaming Peripherals,Razer Ornata V3 Tenkeyless - US - Kuromi Edition,"Low-profile mecha-membrane tenkeyless keyboard featuring an edgy, purple-and-black Sanrio Kuromi aesthetic.",$119.99,https://www.razer.com/keyboards/razer-ornata-v3-tenkeyless---us---kuromi-edition,Purple legend printing can be hard to read in low light when RGB is turned off.
Controller,Gaming Peripherals,Razer Wolverine V3 Pro - Black,"Elite wireless controller for Xbox and PC featuring customizable back paddles, mechanical buttons, and trigger stops.",$199.99,https://www.razer.com/controllers/razer-wolverine-v3-pro---black,Thumbstick tension is not manually adjustable; back paddles are placed slightly too central for small hands.
Controller,Gaming Peripherals,Razer Raiju V3 Pro - Esports Green Edition,"Advanced PlayStation and PC controller in Razer's signature Esports Green, featuring mecha-tactile buttons and interchangeable thumbsticks.",$199.99,https://www.razer.com/controllers/razer-raiju-v3-pro---esports-green-edition,Accompanying mobile app for remaps can be buggy on iOS 17+; occasional Bluetooth disconnects on PC.
Controller,Gaming Peripherals,Razer Raiju V3 Pro - Black,"Advanced PlayStation and PC wireless controller in standard Black, equipped with mecha-tactile action buttons.",$199.99,https://www.razer.com/controllers/razer-raiju-v3-pro---black,Accompanying mobile app for remaps can be buggy on iOS 17+; occasional Bluetooth disconnects on PC.
Controller,Gaming Peripherals,Razer Wolverine V3 Pro 8K PC - Black,Premium wireless PC controller with an 8000Hz polling rate mode for zero-latency inputs and mechanical microswitches.,$199.99,https://www.razer.com/controllers/razer-wolverine-v3-pro-8k-pc---black,8K polling mode only works on PC and requires a wired connection; slightly short included USB cable.
Controller,Gaming Peripherals,Razer Wolverine V3 Tournament Edition - Black,Wired tournament-grade controller with mechanical switches and extra remappable bumpers focused on professional play.,$99.99,https://www.razer.com/controllers/razer-wolverine-v3-tournament-edition---black,"Wired only, limiting living room setups; braided cable is thick and can drag slightly on the desk."
Headset,Gaming Peripherals,Razer Hammerhead V3 X HyperSpeed for Xbox,"Wireless gaming earbuds explicitly licensed and tuned for Xbox, offering low-latency audio via an included USB-C dongle.",$129.99,https://www.razer.com/headsets/razer-hammerhead-v3-x-hyperspeed-for-xbox,Earbud battery drains under 4 hours when both ANC and RGB are active; glossy charging case scratches easily.
Headset,Gaming Peripherals,Razer Kraken Kitty V2 - Gengar Edition,USB wired gaming headset featuring iconic glowing Kitty ears and a playful purple design inspired by Pokémon's Gengar.,$99.99,https://www.razer.com/headsets/razer-kraken-kitty-v2---gengar-edition,Kitty ears add noticeable weight to the top band; purely wired connection restricts movement.
Headset,Gaming Peripherals,Razer Hammerhead V3 HyperSpeed,Multi-platform true wireless gaming earbuds boasting active noise cancellation and a 2.4GHz low-latency dongle.,$129.99,https://www.razer.com/headsets/razer-hammerhead-v3-hyperspeed,Dongle width can block adjacent USB-C ports on laptops; default ear tips may not provide a tight seal for bass.
Headset,Gaming Peripherals,Razer Hammerhead V3 X HyperSpeed for PlayStation,PlayStation-licensed wireless gaming earbuds with active noise cancellation and low-latency HyperSpeed technology.,$129.99,https://www.razer.com/headsets/razer-hammerhead-v3-x-hyperspeed-for-playstation,Earbud battery drains under 4 hours when both ANC and RGB are active; glossy charging case scratches easily.
Headset,Gaming Peripherals,Razer Kraken V4 X - Cinnamoroll Edition,"Lightweight gaming headset coated in Sanrio Cinnamoroll colors, providing 7.1 surround sound and plush memory foam.",$99.99,https://www.razer.com/headsets/razer-kraken-v4-x---cinnamoroll-edition,THX spatial audio software often conflicts with Discord voice processing; heavy clamping force out of the box.
Headset,Gaming Peripherals,Razer BlackShark V2 HyperSpeed,Ultra-lightweight wireless esports headset with triforce titanium drivers and a hyperclear supercardioid mic.,$129.99,https://www.razer.com/headsets/razer-blackshark-v2-hyperspeed,Wire hinge mechanism looks and feels somewhat fragile; volume knob can become scratchy over time.
Headset,Gaming Peripherals,Razer BlackShark V3,Next-generation wired esports headset boasting enhanced passive noise cancellation and upgraded aviation-style audio drivers.,$99.99,https://www.razer.com/headsets/razer-blackshark-v3,Microphone sidetone volume is relatively low; ear cushions trap heat during summer months.
Speaker,Gaming Peripherals,Razer Soma Chroma,Immersive desktop gaming soundbar featuring dynamic Razer Chroma RGB underglow and room-filling spatial audio.,$149.99,https://www.razer.com/speakers/razer-soma-chroma,Takes up significant desk space beneath the monitor; lacks a dedicated external subwoofer for deep bass.
Gaming Chair,Gaming Furniture,Razer Iskur V2 NewGen - Black,"Premium ergonomic gaming chair with a dynamic lumbar curve, featuring a sleek, all-black professional aesthetic.",$499.99,https://www.razer.com/gaming-chairs/razer-iskur-v2-newgen---black,Aggressive bucket seat bolsters restrict wide-leg sitting or cross-legged positions; synthetic leather can peel in highly humid environments.
Gaming Chair,Gaming Furniture,Razer Iskur V2 NewGen - Black / Green,"Premium gaming chair with an adaptive lumbar support system, dressed in Razer's signature Black and Green synthetic leather.",$499.99,https://www.razer.com/gaming-chairs/razer-iskur-v2-newgen---black-green,Aggressive bucket seat bolsters restrict wide-leg sitting or cross-legged positions; synthetic leather can peel in highly humid environments.
Gaming Chair,Gaming Furniture,Razer Iskur V2 X NewGen - Cinnamoroll Edition,Essential ergonomic gaming chair completely restyled with an adorable Sanrio Cinnamoroll pastel theme.,$499.99,https://www.razer.com/gaming-chairs/razer-iskur-v2-x-newgen---cinnamoroll-edition,Aggressive bucket seat bolsters restrict wide-leg sitting or cross-legged positions; synthetic leather can peel in highly humid environments.
Gaming Chair,Gaming Furniture,Razer Iskur V2 X NewGen - Black / Green,Streamlined essential gaming chair providing core ergonomic support in standard Razer Black and Green.,$499.99,https://www.razer.com/gaming-chairs/razer-iskur-v2-x-newgen---black-green,Aggressive bucket seat bolsters restrict wide-leg sitting or cross-legged positions; synthetic leather can peel in highly humid environments.
Microphone,Broadcasting,Razer Seiren V3 Pro,"Professional-grade dynamic USB microphone for broadcasters, featuring advanced voice isolation and a built-in high-pass filter.",$149.99,https://www.razer.com/microphones/razer-seiren-v3-pro,Requires a robust boom arm due to its heavy weight; default gain is set too high out of the box.
Webcam,Broadcasting,Razer Kiyo V2 - Black,"High-end streaming webcam with a large adaptive light sensor, capable of uncompressed 1080p 60fps or 4K recording.",$89.99,https://www.razer.com/webcams/razer-kiyo-v2---black,Autofocus tends to hunt frequently if there is a strong backlight; requires Synapse running for advanced features.
Microphone,Broadcasting,Razer Seiren V3 Mini,"Ultra-compact condenser microphone ideal for minimalist setups, delivering crisp, clear voice capture without taking up desk space.",$59.99,https://www.razer.com/microphones/razer-seiren-v3-mini,Lacks an physical mute button or gain dial on the microphone body; picks up keyboard vibrations from the desk stand.
Microphone,Broadcasting,Razer Seiren V3 Chroma,Vibrant USB condenser microphone that reacts to stream events with fully customizable 360-degree Chroma RGB lighting.,$59.99,https://www.razer.com/microphones/razer-seiren-v3-chroma,Touch-to-mute sensor on top is overly sensitive; RGB lighting can cause glare on monitors in dark rooms.
Webcam,Broadcasting,Razer Kiyo V2 X,Accessible 1080p streaming webcam focused on sharp image quality and smart autofocus for everyday content creation.,$89.99,https://www.razer.com/webcams/razer-kiyo-v2-x,Image quality degrades heavily in low light; fixed USB cable means you cannot swap for a longer cord.
Mousepad,Gaming Peripherals,Razer Gigantus V2 Pro - Balance - Black,Large cloth gaming mouse pad with a micro-weaved surface tailored for a perfect balance of speed and control.,$39.99,https://www.razer.com/mousepads/razer-gigantus-v2-pro---balance---black,Stitched edges can begin to fray after heavy machine washing; takes a few days to lay completely flat after unrolling.
Mousepad,Gaming Peripherals,Razer Sphex V3 - Small,"Ultra-thin, hard gaming mouse mat in a small form factor, designed for seamless desk integration and fast swipes.",$39.99,https://www.razer.com/mousepads/razer-sphex-v3---small,Adhesive base loses stickiness if moved between desks frequently; hard surface wears down PTFE mouse skates rapidly.
Mousepad,Gaming Peripherals,Razer Strider - XXL - Black,Massive XXL hybrid mouse mat combining the slick glides of a hard surface with the rollable portability of a cloth base.,$39.99,https://www.razer.com/mousepads/razer-strider---xxl---black,Stitched edges can begin to fray after heavy machine washing; takes a few days to lay completely flat after unrolling.
Mousepad,Gaming Peripherals,Razer Atlas Pro - Black,Premium tempered glass gaming mouse mat ensuring zero-resistance glides and maximum durability in a stealth Black finish.,$39.99,https://www.razer.com/mousepads/razer-atlas-pro---black,Tempered glass destroys standard PTFE mouse skates in weeks; requires specialized dot skates for longevity; surface feels cold to the touch.
Bundle,Gaming Peripherals,Razer Viper V3 Pro + Gigantus V2 - Counter-Strike 2 Edition Bundle,Exclusive competitive bundle pairing the Viper V3 Pro wireless mouse with a custom Counter-Strike 2 edition Gigantus V2 pad.,$39.99,https://www.razer.com/bundles/razer-viper-v3-pro-gigantus-v2---counter-strike-2-edition-bundle,Stitched edges can begin to fray after heavy machine washing; takes a few days to lay completely flat after unrolling.
Mouse,Gaming Peripherals,Razer Viper V3 Pro SE - Wuthering Waves Edition,Special edition Viper V3 Pro featuring exclusive artwork and design inspired by the action RPG Wuthering Waves.,$159.99,https://www.razer.com/mouses/razer-viper-v3-pro-se---wuthering-waves-edition,Custom artwork can slowly fade on the primary clickers under heavy friction.
Gaming Chair,Gaming Furniture,Razer Enki X - BLACKPINK Edition,"All-day comfort gaming chair featuring exclusive BLACKPINK branding, pink accents, and a wide seat base.",$399.99,https://www.razer.com/gaming-chairs/razer-enki-x---blackpink-edition,Does not include the premium magnetic memory foam head cushion; armrests are only 2D adjustable.
Keyboard,Gaming Peripherals,Razer Ornata V3 Tenkeyless - US - Espeon & Umbreon Edition,Tenkeyless mecha-membrane keyboard highlighting an exclusive Pokémon Espeon & Umbreon day/night thematic design.,$119.99,https://www.razer.com/keyboards/razer-ornata-v3-tenkeyless---us---espeon-umbreon-edition,Custom keycaps cannot be easily replaced with standard aftermarket sets due to the low-profile switch stems.
Headset,Gaming Peripherals,Razer Kraken V4 X - Espeon & Umbreon Edition,Wired gaming headset featuring a unique split-color design honoring Pokémon's Espeon and Umbreon.,$99.99,https://www.razer.com/headsets/razer-kraken-v4-x---espeon-umbreon-edition,THX spatial audio software often conflicts with Discord voice processing; heavy clamping force out of the box.
Backpack,Apparel & Gear,Razer Rogue 16 Backpack V4,"Versatile 16-inch daily commuter backpack with dedicated, padded compartments for laptops, tablets, and gaming accessories.",$149.99,https://www.razer.com/backpacks/razer-rogue-16-backpack-v4,Water-resistant coating degrades after the first year of heavy rain exposure; inner zippers can sometimes catch on the bright green lining.
Backpack,Apparel & Gear,Razer Rogue 18 Backpack V4,"Spacious, heavy-duty 18-inch gaming backpack featuring a tear-resistant exterior, perfect for massive desktop replacement laptops.",$149.99,https://www.razer.com/backpacks/razer-rogue-18-backpack-v4,Water-resistant coating degrades after the first year of heavy rain exposure; inner zippers can sometimes catch on the bright green lining.
Backpack,Apparel & Gear,Razer Rogue 14 Backpack V3,Compact and lightweight 14-inch backpack tailored specifically for thin-and-light gaming setups like the Razer Blade 14.,$149.99,https://www.razer.com/backpacks/razer-rogue-14-backpack-v3,Water-resistant coating degrades after the first year of heavy rain exposure; inner zippers can sometimes catch on the bright green lining.
Backpack,Apparel & Gear,Razer Rogue 15.6 Backpack V2,Classic 15.6-inch water-resistant rolltop backpack optimized for protecting standard gaming laptops from the elements.,$99.99,https://www.razer.com/backpacks/razer-rogue-156-backpack-v2,Water-resistant coating degrades after the first year of heavy rain exposure; inner zippers can sometimes catch on the bright green lining.
Backpack,Apparel & Gear,Razer Scout 15 Backpack,Urban-styled 15-inch lifestyle backpack featuring quick-access pockets and durable webbing for everyday gamers on the go.,$149.99,https://www.razer.com/backpacks/razer-scout-15-backpack,Water-resistant coating degrades after the first year of heavy rain exposure; inner zippers can sometimes catch on the bright green lining.
Mobile Controller,Mobile Gaming,Razer Kishi V3 Pro XL,"Oversized premium mobile controller designed to fit larger smartphones and phablets, offering console-level tactile inputs.",$129.99,https://www.razer.com/mobile-controllers/razer-kishi-v3-pro-xl,Does not securely hold standard-sized phones; pass-through charging causes older phones to overheat.
Mobile Controller,Mobile Gaming,Razer Kishi V3 Pro,Standard-sized premium mobile gaming controller delivering seamless USB-C connectivity and console-quality microswitches.,$99.99,https://www.razer.com/mobile-controllers/razer-kishi-v3-pro,Not compatible with thick protective phone cases; analog sticks have smaller travel distance than console controllers.
